Date;Time;Sequence;DepthSequence;Price;Volume;TradeType;AskPrice;BidPrice;AskSize;BidSize;TotalAskDepth;TotalBidDepth;AskDOMPrice;BidDOMPrice;AskDOM_0;BidDOM_0;AskDOM_1;BidDOM_1;AskDOM_2;BidDOM_2;AskDOM_3;BidDOM_3;AskDOM_4;BidDOM_4;AskDOM_5;BidDOM_5;AskDOM_6;BidDOM_6;AskDOM_7;BidDOM_7;AskDOM_8;BidDOM_8;AskDOM_9;BidDOM_9;AskDOM_10;BidDOM_10;AskDOM_11;BidDOM_11;AskDOM_12;BidDOM_12;AskDOM_13;BidDOM_13;AskDOM_14;BidDOM_14;AskDOM_15;BidDOM_15;AskDOM_16;BidDOM_16;AskDOM_17;BidDOM_17;AskDOM_18;BidDOM_18;AskDOM_19;BidDOM_19;AskDOM_20;BidDOM_20;AskDOM_21;BidDOM_21;AskDOM_22;BidDOM_22;AskDOM_23;BidDOM_23;AskDOM_24;BidDOM_24;AskDOM_25;BidDOM_25;AskDOM_26;BidDOM_26;AskDOM_27;BidDOM_27;AskDOM_28;BidDOM_28;AskDOM_29;BidDOM_29;AskDOM_30;BidDOM_30;AskDOM_31;BidDOM_31;AskDOM_32;BidDOM_32;AskDOM_33;BidDOM_33;AskDOM_34;BidDOM_34;AskDOM_35;BidDOM_35;AskDOM_36;BidDOM_36;AskDOM_37;BidDOM_37;AskDOM_38;BidDOM_38;AskDOM_39;BidDOM_39
2022-01-24;13:30:20.660001;2318538;2318536;4346.75;1;2;4346.75;4346.5;14;10;258;266;4346.75;4346.5;12;12;22;23;21;25;22;28;22;30;26;26;35;46;29;31;28;32;33;45;45;33;40;34;28;49;48;32;30;62;29;31;36;43;46;36;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
2022-01-24;13:30:20.660002;2318539;2318536;4346.75;2;2;4346.75;4346.5;14;10;258;266;4346.75;4346.5;12;12;22;23;21;25;22;28;22;30;26;26;35;46;29;31;28;32;33;45;45;33;40;34;28;49;48;32;30;62;29;31;36;43;46;36;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
2022-01-24;13:30:20.660003;2318540;2318536;4346.75;1;2;4346.75;4346.5;14;10;258;266;4346.75;4346.5;12;12;22;23;21;25;22;28;22;30;26;26;35;46;29;31;28;32;33;45;45;33;40;34;28;49;48;32;30;62;29;31;36;43;46;36;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
2022-01-24;13:30:20.660004;2318541;2318536;4346.75;1;2;4346.75;4346.5;14;10;258;266;4346.75;4346.5;12;12;22;23;21;25;22;28;22;30;26;26;35;46;29;31;28;32;33;45;45;33;40;34;28;49;48;32;30;62;29;31;36;43;46;36;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
2022-01-24;13:30:20.660005;2318544;2318543;4346.75;1;2;4346.75;4346.5;7;10;246;266;4346.75;4346.5;12;12;22;23;21;25;22;28;22;30;26;26;35;46;29;31;28;32;33;45;45;33;40;34;28;49;48;32;30;62;29;31;36;43;46;36;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
2022-01-24;13:30:20.660006;2318548;2318547;4346.75;1;2;4346.75;4346.5;5;11;244;267;4346.75;4346.5;12;12;22;23;21;25;22;28;22;30;26;26;35;46;29;31;28;32;33;45;45;33;40;34;28;49;48;32;30;62;29;31;36;43;46;36;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
2022-01-24;13:30:20.699000;2318560;2318559;4346.75;1;2;4346.75;4346.5;7;10;247;268;4346.75;4346.5;12;12;22;23;21;25;22;28;22;30;26;26;35;46;29;31;28;32;33;45;45;33;40;34;28;49;48;32;30;62;29;31;36;43;46;36;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
2022-01-24;13:30:20.699001;2318561;2318559;4346.75;2;2;4346.75;4346.5;7;10;247;268;4346.75;4346.5;12;12;22;23;21;25;22;28;22;30;26;26;35;46;29;31;28;32;33;45;45;33;40;34;28;49;48;32;30;62;29;31;36;43;46;36;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
2022-01-24;13:30:20.699002;2318562;2318559;4346.75;2;2;4346.75;4346.5;7;10;247;268;4346.75;4346.5;12;12;22;23;21;25;22;28;22;30;26;26;35;46;29;31;28;32;33;45;45;33;40;34;28;49;48;32;30;62;29;31;36;43;46;36;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
2022-01-24;13:30:20.699003;2318563;2318559;4346.75;1;2;4346.75;4346.5;7;10;247;268;4346.75;4346.5;12;12;22;23;21;25;22;28;22;30;26;26;35;46;29;31;28;32;33;45;45;33;40;34;28;49;48;32;30;62;29;31;36;43;46;36;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
